AGS,Name,employment_rate_pct,population_change_5y_pct,share_65plus_pct,longterm_unemployed_share_pct
05111000,"Düsseldorf, Stadt",63.84,-0.48,18.98,34.94
05112000,"Duisburg, Stadt",56.24,0.92,20.25,44.18
05113000,"Essen, Stadt",58.96,-1.55,21.84,42.69
05114000,"Krefeld, Stadt",59.35,1.49,22.14,46.39
05116000,"Mönchengladbach, Stadt",58.93,2.38,21.41,44.22
05117000,"Mülheim an der Ruhr, Stadt",59.37,1.17,23.77,52.67
05119000,"Oberhausen, Stadt",57.51,1.27,22.57,49.14
05120000,"Remscheid, Stadt",60.77,2.76,22.04,33.77
05122000,"Solingen, Klingenstadt",60.86,4.22,21.88,46.63
05124000,"Wuppertal, Stadt",58.17,1.19,20.89,41.12
05154004,Bedburg-Hau,59.99,5.49,20.46,38.56
05154008,"Emmerich am Rhein, Stadt",51.67,3.19,21.99,46.98
05154012,"Geldern, Stadt",63.05,3.48,22.2,40.61
05154016,"Goch, Stadt",58.77,2.92,21.18,45.88
05154020,Issum,65.73,2.94,24.84,21.85
05154024,"Kalkar, Stadt",63.46,2.76,21.71,31.16
05154028,Kerken,64.19,3.93,23.65,25.22
05154032,"Kevelaer, Stadt",63.77,0.77,22.33,49.67
05154036,"Kleve, Stadt",52.91,2.01,21.0,47.36
05154040,Kranenburg,43.39,5.46,19.38,23.83
05154044,"Rees, Stadt",61.08,4.09,23.08,47.43
05154048,Rheurdt,63.5,-3.85,24.78,35.59
05154052,"Straelen, Stadt",68.87,2.07,20.32,24.52
05154056,Uedem,64.53,-1.07,22.09,35.97
05154060,Wachtendonk,63.82,0.86,22.83,38.4
05154064,Weeze,55.7,10.42,17.78,28.24
05158004,"Erkrath, Fundort des Neanderthalers, Stadt",62.82,-1.25,27.19,41.03
05158008,"Haan, Stadt",64.31,-1.2,25.83,38.75
05158012,"Heiligenhaus, Stadt",63.06,0.41,23.4,34.48
05158016,"Hilden, Stadt",66.97,-1.27,25.92,37.03
05158020,"Langenfeld (Rheinland), Stadt",65.77,1.63,23.42,33.6
